종가,저가,고가,시가,MA5,WMA,PER,foreign_보유수량,MA20
41450,40700,41450,41150,40580.0,40113.63636363636,6.91,3335885695,39085.0
41950,41450,42100,41700,41010.0,40570.0,7.0,3337203191,39225.0
42300,41950,42400,42000,41370.0,41010.90909090909,7.05,3340441611,39395.0
42750,41900,42750,42700,41910.0,41445.454545454544,7.13,3341712761,39577.5
42150,41850,42850,42750,42120.0,41698.181818181816,7.03,3343433656,39752.5
42000,41350,42250,41350,42230.0,41850.0,7.0,3344034574,39920.0
43050,42350,43100,43050,42450.0,42149.09090909091,7.18,3341872643,40132.5
44750,43750,44750,44300,42940.0,42698.181818181816,7.46,3347801954,40452.5
45050,44600,45500,45000,43400.0,43224.545454545456,7.51,3356601247,40792.5
45500,44350,45500,45050,44070.0,43741.81818181818,7.59,3364272213,41132.5
46400,44800,46400,44800,44950.0,44342.72727272727,7.74,3368092322,41515.0
46150,46150,47050,46650,45570.0,44808.181818181816,7.7,3372569491,41942.5
46350,46250,46950,46650,45890.0,45233.63636363636,7.73,3379901724,42387.5
46200,46200,47100,46800,46120.0,45558.181818181816,7.7,3382827656,42760.0
44800,44650,45700,45700,45980.0,45565.454545454544,7.47,3384372951,43095.0
45000,44250,45000,44500,45700.0,45560.90909090909,7.5,3381221828,43365.0
46050,44650,46250,44650,45680.0,45692.72727272727,7.68,3381853886,43677.5
46200,46000,46700,46400,45650.0,45797.27272727273,7.7,3383655371,43962.5
47500,46150,47500,46600,45910.0,46111.81818181818,7.92,3383732849,44335.0
46050,45650,46850,46750,46160.0,46118.181818181816,7.68,3386612452,44582.5
46200,45850,46850,46500,46400.0,46141.81818181818,7.7,3385431530,44820.0
45950,45450,46150,45850,46380.0,46123.63636363636,7.66,3384826521,45020.0
46900,46500,47100,46750,46520.0,46281.81818181818,7.82,3383612607,45250.0
46950,46200,47200,46500,46410.0,46439.09090909091,7.83,3386552931,45460.0
47150,46450,47150,46500,46630.0,46619.09090909091,7.86,3388236522,45710.0
47350,47050,47550,47400,46860.0,46792.72727272727,7.9,3388689578,45977.5
46750,46500,47450,47350,47020.0,46814.545454545456,7.8,3390130697,46162.5
46750,46750,47250,47000,46990.0,46823.63636363636,7.8,3391161899,46262.5
45100,45100,46500,46400,46620.0,46522.72727272727,7.52,3391763111,46265.0
44850,44800,46100,46000,46160.0,46220.0,7.48,3390127361,46232.5
44250,44150,45100,44600,45540.0,45830.0,7.38,3388050965,46125.0
44000,43700,44300,44000,44990.0,45430.0,7.34,3386773059,46017.5
44450,43400,44950,43400,44530.0,45147.27272727273,7.41,3387224821,45922.5
43800,43800,44800,44450,44270.0,44790.90909090909,7.3,3388510271,45802.5
43650,43650,44450,44400,44030.0,44464.545454545456,7.28,3388001716,45745.0
44650,44150,44950,44300,44110.0,44383.63636363636,7.45,3386557046,45727.5
43850,43700,44450,44250,44080.0,44206.36363636364,7.31,3389399458,45617.5
43850,43550,44300,43700,43960.0,44081.81818181818,7.31,3389790269,45500.0
44200,43700,44250,43800,44040.0,44073.63636363636,7.37,3389051273,45335.0
43700,43450,44150,43950,44050.0,43990.90909090909,7.29,3385565698,45217.5
43900,43550,43900,43750,43900.0,43965.454545454544,7.32,3382971194,45102.5
44050,43100,44200,43800,43940.0,43973.63636363636,7.35,3384166210,45007.5
45850,44050,46250,44600,44340.0,44308.181818181816,7.65,3383375461,44955.0
46550,46250,47000,46850,44810.0,44744.545454545456,7.76,3388401264,44935.0
45500,44800,45650,45300,45170.0,44940.0,7.59,3391288594,44852.5
45250,44900,45700,45500,45440.0,45056.36363636364,7.55,3392267377,44747.5
45350,44250,45600,44750,45700.0,45180.0,7.56,3392976741,44677.5
44850,44300,45200,44950,45500.0,45185.454545454544,7.48,3391876617,44582.5
44650,44200,44900,44500,45120.0,45136.36363636364,7.45,3392698121,44560.0
45050,44850,45450,45200,45030.0,45151.81818181818,7.51,3392054712,44570.0
45750,45350,46100,45550,45130.0,45270.0,7.63,3392279209,44645.0
46600,45800,46750,46750,45380.0,45509.09090909091,7.77,3395689180,44775.0
46950,46150,47100,46150,45800.0,45765.454545454544,7.83,3399982078,44900.0
46850,46600,47550,46950,46240.0,45983.63636363636,7.81,3402746911,45052.5
46650,46150,47250,47250,46560.0,46160.0,7.78,3404582804,45202.5
46650,46200,46950,46700,46740.0,46315.454545454544,7.78,3406702855,45302.5
46700,46050,46700,46400,46760.0,46454.545454545456,7.79,3409610830,45445.0
46250,46150,46800,46700,46620.0,46487.27272727273,7.71,3408906600,45565.0
46850,46000,46900,46050,46620.0,46603.63636363636,7.81,3410773450,45697.5
47050,47000,47500,47150,46700.0,46716.36363636364,7.85,3412569100,45865.0
47250,46800,47400,47400,46820.0,46829.09090909091,7.88,3414649076,46032.5
47050,47000,47600,47300,46890.0,46878.181818181816,7.85,3416531070,46182.5
45600,45500,47250,47200,46760.0,46655.454545454544,7.6,3417667977,46170.0
45300,45250,46000,45750,46450.0,46402.72727272727,7.55,3414976379,46107.5
45350,45100,45900,45400,46110.0,46187.27272727273,7.56,3412476407,46100.0
45200,45000,45500,45050,45700.0,45968.181818181816,7.54,3413898076,46097.5
44750,44150,45650,45400,45240.0,45693.63636363636,7.46,3415408267,46067.5
44650,44100,45000,44250,45050.0,45436.36363636364,7.45,3416920250,46057.5
44850,43800,45000,44200,44960.0,45244.545454545456,7.48,3416113336,46067.5
46150,45100,46150,45150,45120.0,45325.454545454544,7.7,3416887131,46122.5
45850,45350,46300,46000,45250.0,45368.181818181816,7.65,3417826022,46127.5
45900,45400,46150,45500,45480.0,45445.454545454544,7.1,3421673121,46092.5
45300,45300,46050,45900,45610.0,45434.545454545456,7.01,3420571255,46010.0
44850,44400,45300,45250,45610.0,45347.27272727273,6.94,3422455929,45910.0
44250,44200,44850,44300,45230.0,45159.09090909091,6.85,3420515111,45790.0
42450,42450,44250,43900,44550.0,44663.63636363636,6.57,3419182962,45580.0
42900,42450,43450,42600,43950.0,44300.0,6.64,3417827764,45390.0
42650,42350,43200,42500,43420.0,43924.545454545456,6.6,3415190679,45210.0
42650,41300,43100,41300,42980.0,43585.454545454544,6.6,3414653131,45000.0
42550,42550,43050,42700,42640.0,43268.181818181816,6.59,3412492720,44775.0
41550,41350,42400,42350,42460.0,42834.545454545456,6.43,3411872485,44490.0
41200,40850,42050,41950,42120.0,42415.454545454544,6.38,3408102321,44197.5
42000,41550,42100,41650,41990.0,42227.27272727273,6.5,3407217738,44017.5
43150,42350,43950,42600,42090.0,42308.181818181816,6.68,3409177977,43910.0
43500,42400,43800,43700,42280.0,42483.63636363636,6.73,3411183937,43817.5
43850,43250,44000,43900,42740.0,42736.36363636364,6.79,3413133103,43750.0
42700,42400,43800,43800,43040.0,42754.545454545456,6.61,3416252764,43647.5
42650,42350,43000,42500,43170.0,42767.27272727273,6.6,3414221866,43547.5
42550,42150,42950,42550,43050.0,42761.81818181818,6.59,3412885618,43432.5
41800,41300,42100,41850,42710.0,42621.81818181818,6.47,3408106829,43215.0
42550,42150,42700,42200,42450.0,42631.81818181818,6.59,3405894422,43050.0
42500,42150,42800,42600,42410.0,42614.545454545456,6.58,3409987715,42880.0
43800,42500,43900,42950,42640.0,42810.0,6.78,3407482602,42805.0
43450,43000,43700,43400,42820.0,42909.09090909091,6.72,3410036097,42735.0
43900,43700,44200,44050,43240.0,43084.545454545456,6.79,3407705402,42717.5
44200,43450,44350,43600,43570.0,43307.27272727273,6.84,3406003073,42805.0
44800,44050,44850,44300,44030.0,43632.72727272727,6.93,3407738935,42900.0
