data,algorithm,rmse,r2
MA5 PER foreign_보유수량 종가,lstmgru,924.212723519902,0.9821166309035694
저가 고가 MA5 PER foreign_보유수량 MA20 종가,gru,924.2219505290356,0.9821162738194706
MA5 WMA MA20 종가,lstmgru,924.2711834614082,0.9821143684508908
저가 고가 시가 WMA PER foreign_보유수량 종가,gru,924.3028529321724,0.9821131427539316
고가 WMA MA20 종가,lstmgru,924.3207064772356,0.982112451753368
고가 시가 WMA PER foreign_보유수량 MA20 종가,lstmgru,924.3751083725566,0.9821103461093912
MA5 WMA PER MA20 종가,gru,924.407832714296,0.9821090794428512
고가 시가 MA20 종가,lstmgru,924.4432983336832,0.9821077066185884
고가 시가 MA5 MA20 종가,lstmgru,924.4549611157172,0.9821072551571856
고가 MA5 WMA PER MA20 종가,lstm,924.5803012439404,0.9821024029338508
고가 WMA 종가,lstmgru,924.7223891538914,0.9820969015673148
시가 foreign_보유수량 MA20 종가,gru,924.8653683150276,0.982091364839926
저가 고가 MA5 WMA PER MA20 종가,gru,925.106985295728,0.9820820065144596
시가 PER 종가,gru,925.1129480745072,0.9820817755327952
저가 고가 MA5 WMA 종가,gru,925.2284971420428,0.9820772991854804
고가 시가 MA5 WMA foreign_보유수량 종가,lstm,925.240529291186,0.9820768330303368
시가 WMA PER 종가,gru,925.2518153600064,0.982076395774676
고가 시가 foreign_보유수량 MA20 종가,lstmgru,925.3098465525848,0.982074147390551
고가 시가 MA5 WMA PER MA20 종가,gru,925.3463058041818,0.9820727347263528
시가 MA5 WMA foreign_보유수량 MA20 종가,gru,925.3669415981705,0.982071935139267
MA5 WMA PER 종가,gru,925.3926804077398,0.9820709377976846
저가 고가 WMA PER foreign_보유수량 MA20 종가,lstmgru,925.401730381,0.98207058711774
고가 WMA PER MA20 종가,lstm,925.4240742841284,0.9820697212929036
시가 foreign_보유수량 종가,lstmgru,925.4317166746948,0.9820694251459532
고가 시가 종가,lstm,925.4703223139228,0.9820679291182508
고가 MA20 종가,lstmgru,925.4754667660518,0.982067729758132
MA20 종가,lstmgru,925.54284463922,0.9820651185982356
MA20 종가,gru,925.572649626224,0.9820639634760993
시가 MA5 MA20 종가,gru,925.5885580240792,0.982063346914974
고가 WMA PER foreign_보유수량 MA20 종가,lstm,925.5979389289056,0.9820629833346626
저가 고가 PER foreign_보유수량 MA20 종가,lstm,925.7076133199872,0.9820587323573284
고가 시가 MA5 foreign_보유수량 종가,lstmgru,925.7283422190196,0.982057928848998
MA5 WMA MA20 종가,lstm,925.761100461504,0.9820566590140154
저가 고가 시가 MA5 PER foreign_보유수량 MA20 종가,gru,925.7687662044942,0.9820563618539602
고가 MA5 WMA 종가,lstmgru,925.870675665481,0.982052411132772
고가 시가 MA5 WMA PER MA20 종가,lstmgru,925.8805244369202,0.982052029302684
WMA 종가,lstmgru,925.9270364517532,0.9820502260090074
WMA foreign_보유수량 MA20 종가,lstmgru,926.02183675942,0.9820465502740074
MA5 WMA MA20 종가,gru,926.0964375537956,0.9820436574792434
저가 고가 시가 MA5 종가,gru,926.2757145808156,0.9820367047016256
고가 시가 WMA foreign_보유수량 MA20 종가,lstmgru,926.2954191293531,0.9820359404315852
저가 고가 MA5 WMA PER 종가,gru,926.3562061650254,0.9820335826141172
