종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
47050,46716.36364,46700,7.85,3412569100,61.49799865,2000,45865
47250,46829.09091,46820,7.88,3414649076,62.86882414,1500,46032.5
47050,46878.18182,46890,7.85,3416531070,60.54727361,450,46182.5
45600,46655.45455,46760,7.6,3417667977,46.99730116,-1350,46170
45300,46402.72727,46450,7.55,3414976379,44.76515881,-1550,46107.5
45350,46187.27273,46110,7.56,3412476407,45.23204276,-1300,46100
45200,45968.18182,45700,7.54,3413898076,44.02964825,-1450,46097.5
44750,45693.63636,45240,7.46,3415408267,40.54732611,-1950,46067.5
44650,45436.36364,45050,7.45,3416920250,39.79411836,-1600,46057.5
44850,45244.54545,44960,7.48,3416113336,42.11027911,-2000,46067.5
46150,45325.45455,45120,7.7,3416887131,54.3922144,-900,46122.5
45850,45368.18182,45250,7.65,3417826022,51.66795053,-1400,46127.5
45900,45445.45455,45480,7.1,3421673121,52.09857067,-1150,46092.5
45300,45434.54545,45610,7.01,3420571255,46.7193224,-300,46010
44850,45347.27273,45610,6.94,3422455929,43.12306057,-450,45910
44250,45159.09091,45230,6.85,3420515111,38.8310808,-1100,45790
42450,44663.63636,44550,6.57,3419182962,29.38289193,-2750,45580
42900,44300,43950,6.64,3417827764,33.72446413,-1850,45390
42650,43924.54545,43420,6.6,3415190679,32.52798151,-2000,45210
42650,43585.45455,42980,6.6,3414653131,32.52798151,-2200,45000
42550,43268.18182,42640,6.59,3412492720,32.00128778,-3600,44775
41550,42834.54545,42460,6.43,3411872485,27.24961909,-4300,44490
41200,42415.45455,42120,6.38,3408102321,25.80537185,-4700,44197.5
42000,42227.27273,41990,6.5,3407217738,34.36793531,-3300,44017.5
43150,42308.18182,42090,6.68,3409177977,44.31630515,-1700,43910
43500,42483.63636,42280,6.73,3411183937,46.95179551,-750,43817.5
43850,42736.36364,42740,6.79,3413133103,49.52454958,1400,43750
42700,42754.54545,43040,6.61,3416252764,42.27051526,-200,43647.5
42650,42767.27273,43170,6.6,3414221866,41.98258646,0,43547.5
42550,42761.81818,43050,6.59,3412885618,41.37556206,-100,43432.5
41800,42621.81818,42710,6.47,3408106829,37.04885315,-750,43215
42550,42631.81818,42450,6.59,3405894422,43.42057731,1000,43050
42500,42614.54545,42410,6.58,3409987715,43.10732247,1300,42880
43800,42810,42640,6.78,3407482602,52.66848382,1800,42805
43450,42909.09091,42820,6.72,3410036097,50.22138056,300,42735
43900,43084.54545,43240,6.79,3407705402,53.23020012,400,42717.5
44200,43307.27273,43570,6.84,3406003073,55.17539532,350,42805
44800,43632.72727,44030,6.93,3407738935,58.86066772,2100,42900
44850,43929.09091,44240,6.94,3408334043,59.16198304,2200,43010
44600,44140,44470,6.9,3408906488,56.9172606,2050,43107.5
43750,44159.09091,44440,6.77,3408769906,49.9745029,1950,43167.5
44000,44188.18182,44400,6.81,3408518953,51.83539746,1450,43290
