³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2019-05-08,62805,87.98,4.74,3387,0.0,0
2019-05-09,62805,88.43,4.77,3387,0.0,0
2019-05-10,62805,87.98,4.74,3387,0.0,0
2019-05-13,62805,84.15,4.54,3387,0.0,0
2019-05-14,62805,90.49,4.88,3387,0.0,0
2019-05-15,62805,91.53,4.94,3387,0.0,0
2019-05-16,62805,88.43,4.77,3387,0.0,0
2019-05-17,62805,89.61,4.83,3387,0.0,0
2019-05-20,62805,86.65,4.67,3387,0.0,0
2019-05-21,62805,86.8,4.68,3387,0.0,0
2019-05-22,62805,89.75,4.84,3387,0.0,0
2019-05-23,62805,88.28,4.76,3387,0.0,0
2019-05-24,62805,87.1,4.7,3387,0.0,0
2019-05-27,62805,85.92,4.63,3387,0.0,0
2019-05-28,62805,86.8,4.68,3387,0.0,0
2019-05-29,62805,85.47,4.61,3387,0.0,0
2019-05-30,62805,83.7,4.51,3387,0.0,0
2019-05-31,62805,88.57,4.78,3387,0.0,0
2019-06-03,62805,88.72,4.78,3387,0.0,0
2019-06-04,62805,92.86,5.01,3387,0.0,0
2019-06-05,62805,92.12,4.97,3387,0.0,0
2019-06-07,62805,90.2,4.86,3387,0.0,0
2019-06-10,62805,90.2,4.86,3387,0.0,0
2019-06-11,62805,90.64,4.89,3387,0.0,0
2019-06-12,62805,90.94,4.9,3387,0.0,0
2019-06-13,62805,93.45,5.04,3387,0.0,0
2019-06-14,62805,92.41,4.98,3387,0.0,0
2019-06-17,62805,91.23,4.92,3387,0.0,0
2019-06-18,62805,92.71,5.0,3387,0.0,0
2019-06-19,62805,93.0,5.02,3387,0.0,0
2019-06-20,62805,93.59,5.05,3387,0.0,0
2019-06-21,62805,93.59,5.05,3387,0.0,0
2019-06-24,62805,94.92,5.12,3387,0.0,0
2019-06-25,62805,92.41,4.98,3387,0.0,0
2019-06-26,62805,92.56,4.99,3387,0.0,0
2019-06-27,62805,93.0,5.02,3387,0.0,0
2019-06-28,62805,94.48,5.1,3387,0.0,0
2019-07-01,62805,94.77,5.11,3387,0.0,0
2019-07-02,62805,95.66,5.16,3387,0.0,0
2019-07-03,62805,93.89,5.06,3387,0.0,0
2019-07-04,62805,92.56,4.99,3387,0.0,0
2019-07-05,62805,92.71,5.0,3387,0.0,0
2019-07-08,62805,93.45,5.04,3387,0.0,0
2019-07-09,62805,89.61,4.83,3387,0.0,0
2019-07-10,62805,88.43,4.77,3387,0.0,0
2019-07-11,62805,89.02,4.8,3387,0.0,0
2019-07-12,62805,89.02,4.8,3387,0.0,0
2019-07-15,62805,87.54,4.72,3387,0.0,0
2019-07-16,62805,87.25,4.71,3387,0.0,0
2019-07-17,62805,84.74,4.57,3387,0.0,0
2019-07-18,62805,84.44,4.55,3387,0.0,0
2019-07-19,62805,84.88,4.58,3387,0.0,0
2019-07-22,62805,85.62,4.62,3387,0.0,0
2019-07-23,62805,85.33,4.6,3387,0.0,0
2019-07-24,62805,82.96,4.47,3387,0.0,0
2019-07-25,62805,79.86,4.31,3387,0.0,0
2019-07-26,62805,81.34,4.39,3387,0.0,0
2019-07-29,62805,80.6,4.35,3387,0.0,0
2019-07-30,62805,81.64,4.4,3387,0.0,0
2019-07-31,62805,82.67,4.46,3387,0.0,0
2019-08-01,62805,82.08,4.43,3387,0.0,0
2019-08-02,62805,82.23,4.43,3387,0.0,0
2019-08-05,62805,76.32,4.12,3387,0.0,0
2019-08-06,62805,74.7,4.03,3387,0.0,0
2019-08-07,62805,73.66,3.97,3387,0.0,0
2019-08-08,62805,73.66,3.97,3387,0.0,0
2019-08-09,62805,79.57,4.29,3387,0.0,0
2019-08-12,62805,85.33,4.6,3387,0.0,0
2019-08-13,62805,84.29,4.55,3387,0.0,0
2019-08-14,62805,85.62,4.62,3387,0.0,0
2019-08-16,62805,84.88,4.58,3387,0.0,0
2019-08-19,62805,83.7,4.51,3387,0.0,0
2019-08-20,62805,83.7,4.51,3387,0.0,0
2019-08-21,62805,83.7,4.51,3387,0.0,0
2019-08-22,62805,83.11,4.48,3387,0.0,0
2019-08-23,62805,83.7,4.51,3387,0.0,0
2019-08-26,62805,80.16,4.32,3387,0.0,0
2019-08-27,62805,81.49,4.39,3387,0.0,0
2019-08-28,62805,84.59,4.56,3387,0.0,0
2019-08-29,62805,80.45,4.34,3387,0.0,0
2019-08-30,62805,79.42,4.28,3387,0.0,0
2019-09-02,62805,78.83,4.25,3387,0.0,0
2019-09-03,62805,80.31,4.33,3387,0.0,0
2019-09-04,62805,82.08,4.43,3387,0.0,0
2019-09-05,62805,82.52,4.45,3387,0.0,0
2019-09-06,62805,81.93,4.42,3387,0.0,0
2019-09-09,62805,82.67,4.46,3387,0.0,0
2019-09-10,62805,83.7,4.51,3387,0.0,0
2019-09-11,62805,86.51,4.67,3387,0.0,0
2019-09-16,62805,86.65,4.67,3387,0.0,0
2019-09-17,62805,93.0,5.02,3387,0.0,0
2019-09-18,62805,93.3,5.03,3387,0.0,0
2019-09-19,62805,97.14,5.24,3387,0.0,0
2019-09-20,62805,99.94,5.39,3387,0.0,0
2019-09-23,62805,93.59,5.05,3387,0.0,0
2019-09-24,62805,94.04,5.07,3387,0.0,0
2019-09-25,62805,93.89,5.06,3387,0.0,0
2019-09-26,62805,93.74,5.06,3387,0.0,0
2019-09-27,62805,91.97,4.96,3387,0.0,0
2019-09-30,62805,90.79,4.9,3387,0.0,0
2019-10-01,62805,95.36,5.14,3387,0.0,0
2019-10-02,62805,93.89,5.06,3387,0.0,0
2019-10-04,62805,94.63,5.1,3387,0.0,0
2019-10-07,62805,96.25,5.19,3387,0.0,0
2019-10-08,62805,97.14,5.24,3387,0.0,0
2019-10-10,62805,96.25,5.19,3387,0.0,0
2019-10-11,62805,95.96,5.17,3387,0.0,0
2019-10-14,62805,97.28,5.25,3387,0.0,0
2019-10-15,62805,96.25,5.19,3387,0.0,0
2019-10-16,62805,100.09,5.4,3387,0.0,0
2019-10-17,62805,101.86,5.49,3387,0.0,0
2019-10-18,62805,101.56,5.48,3387,0.0,0
2019-10-21,62805,100.24,5.41,3387,0.0,0
2019-10-22,62805,101.56,5.48,3387,0.0,0
2019-10-23,62805,109.98,5.93,3387,0.0,0
2019-10-24,62805,111.6,6.02,3387,0.0,0
2019-10-25,62805,113.23,6.11,3387,0.0,0
2019-10-28,62805,117.51,6.34,3387,0.0,0
2019-10-29,62805,118.25,6.38,3387,0.0,0
2019-10-30,62805,117.21,6.32,3387,0.0,0
2019-10-31,62805,117.66,6.35,3387,0.0,0
2019-11-01,62805,116.92,6.31,3387,0.0,0
2019-11-04,62805,118.39,6.38,3387,0.0,0
2019-11-05,62805,117.95,6.36,3387,0.0,0
2019-11-06,62805,117.95,6.36,3387,0.0,0
