종가,시가,고가,저가,WMA,PER,MA5,MA20,foreign_보유수량,업종
47050,47300,47600,47000,46878.18182,7.85,46890,46182.5,3416531070,IT
45600,47200,47250,45500,46655.45455,7.6,46760,46170,3417667977,IT
45300,45750,46000,45250,46402.72727,7.55,46450,46107.5,3414976379,IT
45350,45400,45900,45100,46187.27273,7.56,46110,46100,3412476407,IT
45200,45050,45500,45000,45968.18182,7.54,45700,46097.5,3413898076,IT
44750,45400,45650,44150,45693.63636,7.46,45240,46067.5,3415408267,IT
44650,44250,45000,44100,45436.36364,7.45,45050,46057.5,3416920250,IT
44850,44200,45000,43800,45244.54545,7.48,44960,46067.5,3416113336,IT
46150,45150,46150,45100,45325.45455,7.7,45120,46122.5,3416887131,IT
45850,46000,46300,45350,45368.18182,7.65,45250,46127.5,3417826022,IT
45900,45500,46150,45400,45445.45455,7.1,45480,46092.5,3421673121,IT
45300,45900,46050,45300,45434.54545,7.01,45610,46010,3420571255,IT
44850,45250,45300,44400,45347.27273,6.94,45610,45910,3422455929,IT
44250,44300,44850,44200,45159.09091,6.85,45230,45790,3420515111,IT
42450,43900,44250,42450,44663.63636,6.57,44550,45580,3419182962,IT
42900,42600,43450,42450,44300,6.64,43950,45390,3417827764,IT
42650,42500,43200,42350,43924.54545,6.6,43420,45210,3415190679,IT
42650,41300,43100,41300,43585.45455,6.6,42980,45000,3414653131,IT
42550,42700,43050,42550,43268.18182,6.59,42640,44775,3412492720,IT
41550,42350,42400,41350,42834.54545,6.43,42460,44490,3411872485,IT
41200,41950,42050,40850,42415.45455,6.38,42120,44197.5,3408102321,IT
42000,41650,42100,41550,42227.27273,6.5,41990,44017.5,3407217738,IT
43150,42600,43950,42350,42308.18182,6.68,42090,43910,3409177977,IT
43500,43700,43800,42400,42483.63636,6.73,42280,43817.5,3411183937,IT
43850,43900,44000,43250,42736.36364,6.79,42740,43750,3413133103,IT
42700,43800,43800,42400,42754.54545,6.61,43040,43647.5,3416252764,IT
42650,42500,43000,42350,42767.27273,6.6,43170,43547.5,3414221866,IT
42550,42550,42950,42150,42761.81818,6.59,43050,43432.5,3412885618,IT
41800,41850,42100,41300,42621.81818,6.47,42710,43215,3408106829,IT
42550,42200,42700,42150,42631.81818,6.59,42450,43050,3405894422,IT
42500,42600,42800,42150,42614.54545,6.58,42410,42880,3409987715,IT
43800,42950,43900,42500,42810,6.78,42640,42805,3407482602,IT
43450,43400,43700,43000,42909.09091,6.72,42820,42735,3410036097,IT
43900,44050,44200,43700,43084.54545,6.79,43240,42717.5,3407705402,IT
44200,43600,44350,43450,43307.27273,6.84,43570,42805,3406003073,IT
44800,44300,44850,44050,43632.72727,6.93,44030,42900,3407738935,IT
